Well_ID,Point_ID,x_long,y_lat,County,MeasurementMonth,MeasurementDay,MeasurementYear,WaterElevation,SaturatedThickness
2309501,253474,-101.957778,33.809445,Lubbock,2,6,1995,3207.07,10.77
2310413,255345,-101.8475,33.792778,Lubbock,12,9,2013,3148.98,-6.62
2310502,254978,-101.814723,33.798334,Lubbock,1,3,1995,3129.24,90.24
2310703,257214,-101.853612,33.7725,Lubbock,1,18,1996,3150.81,8.81
2310902,259112,-101.789722,33.751945,Lubbock,1,27,2010,3070.74,58.14
2311401,254255,-101.726111,33.810834,Lubbock,1,3,1995,3071.69,85.89
2311501,254631,-101.682222,33.810834,Lubbock,1,3,1995,3082.89,67.69
2311601,255755,-101.6361111,33.7986111,Lubbock,1,3,1995,3082.75,128.65
2311702,256858,-101.748334,33.781667,Lubbock,1,3,1995,3076.41,115.01
2311801,258366,-101.705834,33.766389,Lubbock,1,13,1995,3040.67,120.97
2311904,258757,-101.630833,33.764445,Lubbock,10,25,2006,3043.78,155.08
2312401,256132,-101.612501,33.795556,Lubbock,1,13,1995,3058.37,134.87
2312402,253538,-101.594722,33.825278,Lubbock,3,6,1995,3006.07,148.07
2312803,260310,-101.565001,33.751112,Lubbock,2,1,1995,2999.82,158.42
2317104,261391,-101.983055,33.718889,Lubbock,2,6,1995,3185,23.4
2317202,260244,-101.939722,33.733889,Lubbock,1,18,1996,3162.56,-14.34
2317205,262553,-101.9225,33.708612,Lubbock,2,13,2008,3152.23,12.23
2317406,265644,-101.961945,33.671111,Lubbock,2,6,1995,3180.48,53.68
2317501,264089,-101.919722,33.691667,Lubbock,2,6,1995,3172.43,30.03
2317506,265258,-101.925,33.679167,Lubbock,2,29,1996,3161.35,23.35
2317601,265657,-101.888889,33.676667,Lubbock,2,6,1995,3148.85,31.75
2317704,267591,-101.973333,33.650556,Lubbock,2,3,1995,3190.06,71.96
2317712,268736,-101.960001,33.636389,Lubbock,8,6,1999,3167,45.5
2317801,269115,-101.957501,33.631389,Lubbock,2,3,1995,3178.54,78.54
2317901,269883,-101.916389,33.628055,Lubbock,2,6,1995,3171,87.8
2318109,260648,-101.836111,33.733055,Lubbock,2,14,2005,3125.74,6.84
2318201,260649,-101.830555,33.735,Lubbock,1,3,1995,3127.38,8.48
2318205,261034,-101.830555,33.730555,Lubbock,2,20,2002,3119.07,-19.83
2318301,260271,-101.783611,33.738334,Lubbock,1,3,1995,3072.03,110.73
2318303,259497,-101.785556,33.746667,Lubbock,10,4,2007,3066.1,66.1
2318409,263716,-101.845278,33.699445,Lubbock,2,6,1995,3122.06,1.96
2318502,265673,-101.800278,33.678611,Lubbock,2,1,1995,3115.51,9.31
2318506,264888,-101.806667,33.686945,Lubbock,2,14,2008,3119.21,23.51
2318701,267614,-101.84,33.653889,Lubbock,2,6,1995,3140.54,60.94
2318703,269896,-101.845834,33.628889,Lubbock,2,6,1995,3157.9,60.9
2318704,269131,-101.869722,33.636111,Lubbock,2,6,1995,3150.6,50.6
2318712,267615,-101.838334,33.654723,Lubbock,2,10,2000,3141.71,62.11
2318802,268766,-101.792778,33.646111,Lubbock,2,1,1995,3121.49,100.49
2319101,263348,-101.748889,33.708612,Lubbock,2,1,1995,3048.3,90
2319103,263350,-101.740556,33.708889,Lubbock,3,1,2002,3045.49,87.19
2319304,261065,-101.6538889,33.7366667,Lubbock,2,1,1995,3021.01,113.01
2319501,264132,-101.677222,33.703889,Lubbock,2,1,1995,3002.74,102.64
2319601,266487,-101.639445,33.677222,Lubbock,2,1,1995,2989.43,119.33
2319704,268396,-101.740834,33.649722,Lubbock,2,1,1995,3080.72,130.22
2319707,267248,-101.738334,33.665278,Lubbock,2,14,2008,3049.26,89.26
2319804,269923,-101.694445,33.634722,Lubbock,3,3,1995,3045.79,98.89
2319906,269168,-101.660834,33.648334,Lubbock,2,1,1995,3004.59,130.99
2320401,264146,-101.595,33.707501,Lubbock,2,1,1995,2998.05,149.65
2320701,268795,-101.625,33.6525,Lubbock,2,1,1995,2979.74,117.84
2320805,268042,-101.578611,33.665001,Lubbock,2,1,1995,2972.06,112.16
